Match,Winning Team,Player,Overs,Runs,Wickets,Econ,Wide,NB,Match ID
Afghanistan vs Bangladesh,Bangladesh,Azmatullah Omarzai,2.0,9,1,4.5,0,0,ODI # 4660
Netherlands vs Pakistan,Pakistan,Aryan Dutt,10.0,48,1,4.8,2,0,ODI # 4659
Netherlands vs Pakistan,Pakistan,Logan van Beek,6.0,30,1,5.0,1,0,ODI # 4659
Netherlands vs Pakistan,Pakistan,Colin Ackermann,8.0,39,2,4.87,0,0,ODI # 4659
Netherlands vs Pakistan,Pakistan,Paul van Meekeren,6.0,40,1,6.66,2,0,ODI # 4659
Netherlands vs Pakistan,Pakistan,Bas de Leede,9.0,62,4,6.88,3,0,ODI # 4659
Netherlands vs Pakistan,Pakistan,Roelof van der Merwe,6.0,36,0,6.0,0,1,ODI # 4659
Netherlands vs Pakistan,Pakistan,Vikramjit Singh,2.0,16,0,8.0,0,0,ODI # 4659
Netherlands vs Pakistan,Pakistan,Saqib Zulfiqar,2.0,15,0,7.5,0,0,ODI # 4659
Netherlands vs Pakistan,Pakistan,Shaheen Shah Afridi,7.0,37,1,5.28,2,0,ODI # 4659
Netherlands vs Pakistan,Pakistan,Hasan Ali,7.0,33,2,4.71,4,0,ODI # 4659
Netherlands vs Pakistan,Pakistan,Haris Rauf,9.0,43,3,4.77,2,0,ODI # 4659
Netherlands vs Pakistan,Pakistan,Iftikhar Ahmed,3.0,16,1,5.33,0,0,ODI # 4659
Netherlands vs Pakistan,Pakistan,Mohammad Nawaz,7.0,31,1,4.42,0,0,ODI # 4659
Netherlands vs Pakistan,Pakistan,Shadab Khan,8.0,45,1,5.62,1,0,ODI # 4659
