Match,Winning Team,Player,Runs,Balls,M,4s,6s,SR,Match ID
Bangladesh vs New Zealand,New Zealand,Daryl Mitchell ,89,67,103,6,4,132.83,ODI # 4668
Bangladesh vs New Zealand,New Zealand,Glenn Phillips ,16,11,22,1,1,145.45,ODI # 4668
Australia vs South Africa,South Africa,Quinton de Kock ,109,106,147,8,5,102.83,ODI # 4667
Australia vs South Africa,South Africa,Temba Bavuma ,35,55,84,2,0,63.63,ODI # 4667
Australia vs South Africa,South Africa,Rassie van der Dussen ,26,30,33,2,0,86.66,ODI # 4667
Australia vs South Africa,South Africa,Aiden Markram ,56,44,61,7,1,127.27,ODI # 4667
Australia vs South Africa,South Africa,Heinrich Klaasen ,29,27,40,3,0,107.40,ODI # 4667
Australia vs South Africa,South Africa,David Miller ,17,13,35,1,1,130.76,ODI # 4667
Australia vs South Africa,South Africa,Marco Jansen ,26,22,25,3,1,118.18,ODI # 4667
Australia vs South Africa,South Africa,Kagiso Rabada ,0,1,4,0,0,0.00,ODI # 4667
Australia vs South Africa,South Africa,Keshav Maharaj ,0,2,1,0,0,0.00,ODI # 4667
Australia vs South Africa,South Africa,Mitchell Marsh ,7,15,27,0,0,46.66,ODI # 4667
Australia vs South Africa,South Africa,David Warner ,13,27,33,2,0,48.14,ODI # 4667
Australia vs South Africa,South Africa,Steven Smith ,19,16,20,4,0,118.75,ODI # 4667
Australia vs South Africa,South Africa,Marnus Labuschagne ,46,74,125,3,0,62.16,ODI # 4667
Australia vs South Africa,South Africa,Josh Inglis ,5,4,5,1,0,125.00,ODI # 4667
Australia vs South Africa,South Africa,Glenn Maxwell ,3,17,17,0,0,17.64,ODI # 4667
Australia vs South Africa,South Africa,Marcus Stoinis ,5,4,6,1,0,125.00,ODI # 4667
Australia vs South Africa,South Africa,Mitchell Starc ,27,51,69,3,0,52.94,ODI # 4667
Australia vs South Africa,South Africa,Pat Cummins ,22,21,29,4,0,104.76,ODI # 4667
Australia vs South Africa,South Africa,Adam Zampa ,11,16,25,1,0,68.75,ODI # 4667
Australia vs South Africa,South Africa,Josh Hazlewood ,2,2,1,0,0,100.00,ODI # 4667
India vs Afghanistan,India,Rahmanullah Gurbaz ,21,28,65,3,1,75.00,ODI # 4666
India vs Afghanistan,India,Ibrahim Zadran ,22,28,31,4,0,78.57,ODI # 4666
India vs Afghanistan,India,Rahmat Shah ,16,22,37,3,0,72.72,ODI # 4666
India vs Afghanistan,India,Hashmatullah Shahidi ,80,88,128,8,1,90.90,ODI # 4666
India vs Afghanistan,India,Azmatullah Omarzai ,62,69,82,2,4,89.85,ODI # 4666
India vs Afghanistan,India,Mohammad Nabi ,19,27,52,1,0,70.37,ODI # 4666
India vs Afghanistan,India,Najibullah Zadran ,2,8,6,0,0,25.00,ODI # 4666
India vs Afghanistan,India,Rashid Khan ,16,12,18,1,1,133.33,ODI # 4666
India vs Afghanistan,India,Mujeeb Ur Rahman ,10,12,22,2,0,83.33,ODI # 4666
India vs Afghanistan,India,Naveen-ul-Haq ,9,8,8,1,0,112.50,ODI # 4666
India vs Afghanistan,India,Rohit Sharma ,131,84,111,16,5,155.95,ODI # 4666
India vs Afghanistan,India,Ishan Kishan ,47,47,78,5,2,100.00,ODI # 4666
India vs Afghanistan,India,Virat Kohli ,55,56,64,6,0,98.21,ODI # 4666
India vs Afghanistan,India,Shreyas Iyer ,25,23,31,1,1,108.69,ODI # 4666
Pakistan vs Sri Lanka,Pakistan,Pathum Nissanka ,51,61,79,7,1,83.60,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Kusal Perera ,0,4,7,0,0,0.00,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Kusal Mendis ,122,77,124,14,6,158.44,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Sadeera Samarawickrama ,108,89,139,11,2,121.34,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Charith Asalanka ,1,3,5,0,0,33.33,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Dhananjaya de Silva ,25,34,47,3,0,73.52,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Dasun Shanaka ,12,18,23,0,0,66.66,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Dunith Wellalage ,10,8,18,1,0,125.00,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Maheesh Theekshana ,0,4,6,0,0,0.00,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Matheesha Pathirana ,1,3,3,0,0,33.33,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Abdullah Shafique ,113,103,150,10,3,109.70,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Imam-ul-Haq ,12,12,15,1,0,100.00,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Babar Azam ,10,15,17,1,0,66.66,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Mohammad Rizwan ,131,121,193,8,3,108.26,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Saud Shakeel ,31,30,57,2,0,103.33,ODI # 4665
Pakistan vs Sri Lanka,Pakistan,Iftikhar Ahmed ,22,10,18,4,0,220.00,ODI # 4665
Bangladesh vs England,England,Jonny Bairstow ,52,59,80,8,0,88.13,ODI # 4664
Bangladesh vs England,England,Dawid Malan ,140,107,106,16,5,130.84,ODI # 4664
Bangladesh vs England,England,Joe Root ,82,68,107,8,1,120.58,ODI # 4664
Bangladesh vs England,England,Jos Buttler ,20,10,11,1,1,200.00,ODI # 4664
Bangladesh vs England,England,Harry Brook ,20,15,23,3,0,133.33,ODI # 4664
Bangladesh vs England,England,Liam Livingstone ,0,1,1,0,0,0.00,ODI # 4664
Bangladesh vs England,England,Sam Curran ,11,15,20,1,0,73.33,ODI # 4664
Bangladesh vs England,England,Chris Woakes ,14,11,21,2,0,127.27,ODI # 4664
Bangladesh vs England,England,Adil Rashid ,11,7,8,1,0,157.14,ODI # 4664
Bangladesh vs England,England,Mark Wood ,6,5,6,1,0,120.00,ODI # 4664
Bangladesh vs England,England,Reece Topley ,1,2,2,0,0,50.00,ODI # 4664
Bangladesh vs England,England,Litton Das ,76,66,99,7,2,115.15,ODI # 4664
Bangladesh vs England,England,Tanzid Hasan ,1,2,7,0,0,50.00,ODI # 4664
Bangladesh vs England,England,Najmul Hossain Shanto ,0,1,1,0,0,0.00,ODI # 4664
Bangladesh vs England,England,Shakib Al Hasan ,1,9,16,0,0,11.11,ODI # 4664
Bangladesh vs England,England,Mehidy Hasan Miraz ,8,7,12,1,0,114.28,ODI # 4664
Bangladesh vs England,England,Mushfiqur Rahim ,51,64,93,4,0,79.68,ODI # 4664
Bangladesh vs England,England,Towhid Hridoy ,39,61,70,2,0,63.93,ODI # 4664
Bangladesh vs England,England,Mahedi Hasan ,14,32,39,1,0,43.75,ODI # 4664
Bangladesh vs England,England,Taskin Ahmed ,15,25,35,0,1,60.00,ODI # 4664
Bangladesh vs England,England,Shoriful Islam ,12,14,17,2,0,85.71,ODI # 4664
Bangladesh vs England,England,Mustafizur Rahman ,3,9,12,0,0,33.33,ODI # 4664
Netherlands vs New Zealand,New Zealand,Devon Conway ,32,40,51,5,1,80.00,ODI # 4663
Netherlands vs New Zealand,New Zealand,Will Young ,70,80,106,7,2,87.50,ODI # 4663
Netherlands vs New Zealand,New Zealand,Rachin Ravindra ,51,51,87,3,1,100.00,ODI # 4663
Netherlands vs New Zealand,New Zealand,Daryl Mitchell ,48,47,67,5,2,102.12,ODI # 4663
Netherlands vs New Zealand,New Zealand,Tom Latham ,53,46,72,6,1,115.21,ODI # 4663
Netherlands vs New Zealand,New Zealand,Glenn Phillips ,4,4,6,1,0,100.00,ODI # 4663
Netherlands vs New Zealand,New Zealand,Mark Chapman ,5,13,11,0,0,38.46,ODI # 4663
Netherlands vs New Zealand,New Zealand,Mitchell Santner ,36,17,25,3,2,211.76,ODI # 4663
Netherlands vs New Zealand,New Zealand,Matt Henry ,10,4,6,0,1,250.00,ODI # 4663
Netherlands vs New Zealand,New Zealand,Vikramjit Singh ,12,20,22,1,0,60.00,ODI # 4663
Netherlands vs New Zealand,New Zealand,Max O'Dowd ,16,31,40,2,0,51.61,ODI # 4663
Netherlands vs New Zealand,New Zealand,Colin Ackermann ,69,73,98,5,0,94.52,ODI # 4663
Netherlands vs New Zealand,New Zealand,Bas de Leede ,18,25,21,3,0,72.00,ODI # 4663
Netherlands vs New Zealand,New Zealand,Teja Nidamanuru ,21,26,28,2,1,80.76,ODI # 4663
Netherlands vs New Zealand,New Zealand,Scott Edwards ,30,27,37,2,1,111.11,ODI # 4663
Netherlands vs New Zealand,New Zealand,Sybrand Engelbrecht ,29,34,55,3,0,85.29,ODI # 4663
Netherlands vs New Zealand,New Zealand,Roelof van der Merwe ,1,6,9,0,0,16.66,ODI # 4663
Netherlands vs New Zealand,New Zealand,Ryan Klein ,8,15,23,0,0,53.33,ODI # 4663
Netherlands vs New Zealand,New Zealand,Aryan Dutt ,11,20,19,0,1,55.00,ODI # 4663
Netherlands vs New Zealand,New Zealand,Paul van Meekeren ,4,3,5,1,0,133.33,ODI # 4663
India vs Australia,India,David Warner ,41,52,76,6,0,78.84,ODI # 4662
India vs Australia,India,Mitchell Marsh ,0,6,11,0,0,0.00,ODI # 4662
India vs Australia,India,Steven Smith ,46,71,112,5,0,64.78,ODI # 4662
India vs Australia,India,Marnus Labuschagne ,27,41,58,1,0,65.85,ODI # 4662
India vs Australia,India,Glenn Maxwell ,15,25,44,1,0,60.00,ODI # 4662
India vs Australia,India,Alex Carey ,0,2,1,0,0,0.00,ODI # 4662
India vs Australia,India,Cameron Green ,8,20,31,0,0,40.00,ODI # 4662
India vs Australia,India,Pat Cummins ,15,24,26,1,1,62.50,ODI # 4662
India vs Australia,India,Mitchell Starc ,28,35,58,2,1,80.00,ODI # 4662
India vs Australia,India,Adam Zampa ,6,20,28,0,0,30.00,ODI # 4662
India vs Australia,India,Josh Hazlewood ,1,1,6,0,0,100.00,ODI # 4662
India vs Australia,India,Rohit Sharma ,0,6,10,0,0,0.00,ODI # 4662
India vs Australia,India,Ishan Kishan ,0,1,3,0,0,0.00,ODI # 4662
India vs Australia,India,Virat Kohli ,85,116,171,6,0,73.27,ODI # 4662
India vs Australia,India,Shreyas Iyer ,0,3,2,0,0,0.00,ODI # 4662
India vs Australia,India,KL Rahul ,97,115,180,8,2,84.34,ODI # 4662
India vs Australia,India,Hardik Pandya ,11,8,17,0,1,137.50,ODI # 4662
South Africa vs Sri Lanka,South Africa,Quinton de Kock ,100,84,140,12,3,119.04,ODI # 4661
South Africa vs Sri Lanka,South Africa,Temba Bavuma ,8,5,9,2,0,160.00,ODI # 4661
South Africa vs Sri Lanka,South Africa,Rassie van der Dussen ,108,110,161,13,2,98.18,ODI # 4661
South Africa vs Sri Lanka,South Africa,Aiden Markram ,106,54,84,14,3,196.29,ODI # 4661
South Africa vs Sri Lanka,South Africa,Heinrich Klaasen ,32,20,30,1,3,160.00,ODI # 4661
South Africa vs Sri Lanka,South Africa,David Miller ,39,21,36,3,2,185.71,ODI # 4661
South Africa vs Sri Lanka,South Africa,Marco Jansen ,12,7,15,0,1,171.42,ODI # 4661
South Africa vs Sri Lanka,South Africa,Pathum Nissanka ,0,3,6,0,0,0.00,ODI # 4661
South Africa vs Sri Lanka,South Africa,Kusal Perera ,7,15,42,1,0,46.66,ODI # 4661
South Africa vs Sri Lanka,South Africa,Kusal Mendis ,76,42,55,4,8,180.95,ODI # 4661
South Africa vs Sri Lanka,South Africa,Sadeera Samarawickrama ,23,19,22,3,1,121.05,ODI # 4661
South Africa vs Sri Lanka,South Africa,Charith Asalanka ,79,65,83,8,4,121.53,ODI # 4661
South Africa vs Sri Lanka,South Africa,Dhananjaya de Silva ,11,14,28,1,0,78.57,ODI # 4661
South Africa vs Sri Lanka,South Africa,Dasun Shanaka ,68,62,86,6,3,109.67,ODI # 4661
South Africa vs Sri Lanka,South Africa,Dunith Wellalage ,0,1,2,0,0,0.00,ODI # 4661
South Africa vs Sri Lanka,South Africa,Kasun Rajitha ,33,31,52,4,1,106.45,ODI # 4661
South Africa vs Sri Lanka,South Africa,Matheesha Pathirana ,5,16,25,1,0,31.25,ODI # 4661
South Africa vs Sri Lanka,South Africa,Dilshan Madushanka ,4,2,4,1,0,200.00,ODI # 4661
Afghanistan vs Bangladesh,Bangladesh,Rahmanullah Gurbaz ,47,62,112,4,1,75.80,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Ibrahim Zadran ,22,25,41,3,1,88.00,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Rahmat Shah ,18,25,30,1,0,72.00,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Hashmatullah Shahidi ,18,38,34,2,0,47.36,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Najibullah Zadran ,5,13,16,0,0,38.46,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Mohammad Nabi ,6,12,19,0,0,50.00,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Azmatullah Omarzai ,22,20,32,4,0,110.00,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Rashid Khan ,9,16,16,1,0,56.25,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Mujeeb Ur Rahman ,1,4,9,0,0,25.00,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Naveen-ul-Haq ,0,6,8,0,0,0.00,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Fazalhaq Farooqi ,0,3,3,0,0,0.00,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Tanzid Hasan ,5,13,19,1,0,38.46,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Litton Das ,13,18,29,2,0,72.22,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Mehidy Hasan Miraz ,57,73,89,5,0,78.08,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Najmul Hossain Shanto ,59,83,112,3,1,71.08,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Shakib Al Hasan ,14,19,24,2,0,73.68,ODI # 4660
Afghanistan vs Bangladesh,Bangladesh,Mushfiqur Rahim ,2,3,6,0,0,66.66,ODI # 4660
Netherlands vs Pakistan,Pakistan,Fakhar Zaman ,12,15,14,3,0,80.00,ODI # 4659
Netherlands vs Pakistan,Pakistan,Imam-ul-Haq ,15,19,40,2,0,78.94,ODI # 4659
Netherlands vs Pakistan,Pakistan,Babar Azam ,5,18,20,0,0,27.77,ODI # 4659
Netherlands vs Pakistan,Pakistan,Mohammad Rizwan ,68,75,104,8,0,90.66,ODI # 4659
Netherlands vs Pakistan,Pakistan,Saud Shakeel ,68,52,84,9,1,130.76,ODI # 4659
Netherlands vs Pakistan,Pakistan,Iftikhar Ahmed ,9,11,22,1,0,81.81,ODI # 4659
Netherlands vs Pakistan,Pakistan,Mohammad Nawaz ,39,43,66,4,0,90.69,ODI # 4659
Netherlands vs Pakistan,Pakistan,Shadab Khan ,32,34,42,2,1,94.11,ODI # 4659
Netherlands vs Pakistan,Pakistan,Hasan Ali ,0,1,2,0,0,0.00,ODI # 4659
Netherlands vs Pakistan,Pakistan,Shaheen Shah Afridi ,13,12,23,2,0,108.33,ODI # 4659
Netherlands vs Pakistan,Pakistan,Haris Rauf ,16,14,10,2,1,114.28,ODI # 4659
Netherlands vs Pakistan,Pakistan,Vikramjit Singh ,52,67,97,4,1,77.61,ODI # 4659
Netherlands vs Pakistan,Pakistan,Max O'Dowd ,5,12,24,1,0,41.66,ODI # 4659
Netherlands vs Pakistan,Pakistan,Colin Ackermann ,17,21,24,3,0,80.95,ODI # 4659
Netherlands vs Pakistan,Pakistan,Bas de Leede ,67,68,92,6,2,98.52,ODI # 4659
Netherlands vs Pakistan,Pakistan,Teja Nidamanuru ,5,9,10,1,0,55.55,ODI # 4659
Netherlands vs Pakistan,Pakistan,Scott Edwards ,0,2,2,0,0,0.00,ODI # 4659
Netherlands vs Pakistan,Pakistan,Saqib Zulfiqar ,10,18,24,1,0,55.55,ODI # 4659
Netherlands vs Pakistan,Pakistan,Roelof van der Merwe ,4,7,18,0,0,57.14,ODI # 4659
Netherlands vs Pakistan,Pakistan,Logan van Beek ,28,28,36,3,1,100.00,ODI # 4659
Netherlands vs Pakistan,Pakistan,Aryan Dutt ,1,2,6,0,0,50.00,ODI # 4659
Netherlands vs Pakistan,Pakistan,Paul van Meekeren ,7,12,17,1,0,58.33,ODI # 4659
