Name,Age,Batting Style,Bowling Style,Playing Role
Najmul Hossain Shanto,25y 122d,Left hand Bat,Right arm Offbreak,Top order Batter
Md Towhid Hridoy,23y 21d,Right hand Bat,Right arm Offbreak,Top order Batter
Mohammad Mahmudullah,37y 324d,Riyad,Right hand Bat,Right arm Offbreak
Mohammad Mushfiqur Rahim,36y 230d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Mehidy Hasan Miraz,26y 61d,Miraz,Right hand Bat,Right arm Offbreak
Nasum Ahmed,29y 20d,Left hand Bat,Slow Left arm Orthodox,Bowler
Mahedi Hasan,29y 13d,Mahedi,Right hand Bat,Right arm Offbreak
Taskin Ahmed,28y 266d,Tazin,Left hand Bat,Right arm Fast
Mustafizur Rahman,28y 110d,Left hand Bat,Left arm Fast medium,Bowler
Sean Anthony Abbott,31y 300d,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Marcus Peter Stoinis,34y 131d,Right hand Bat,Right arm Medium,Batting Allrounder
Ahsan Raza,49y 210d,Right hand Bat,Wicketkeeper,Umpire
Richard Allan Kettleborough,50y 285d,Ketts,Left hand Bat,Right arm Medium
Rahmanullah Gurbaz,22y 27d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Ibrahim Zadran,22y 13d,Right hand Bat,Right arm Medium fast,Opening Batter
Rahmat Shah Zurmatai,30y 172d,Right hand Bat,Legbreak Googly,Allrounder
Hashmatullah Shahidi,29y 51d,Hashmat Shaidi,Left hand Bat,Right arm Offbreak
Azmatullah Omarzai,23y 276d,Right hand Bat,Right arm Medium fast,Allrounder
Ikram Alikhil,23y 87d,Left hand Bat,Wicketkeeper Batter,Batting & Fielding
Mohammad Nabi,38y 358d,Right hand Bat,Right arm Offbreak,Allrounder
Rashid Khan Arman,25y 96d,Right hand Bat,Legbreak Googly,Bowling Allrounder
Noor Ahmad Lakanwal,18y 356d,Right hand Bat,Left arm Wrist spin,Bowler
Mujeeb Ur Rahman,22y 272d,Mujeeb Zadran,Right hand Bat,Right arm Offbreak
Naveen-ul-Haq Murid,24y 93d,Right hand Bat,Right arm Medium fast,Bowler
Lungisani True-man Ngidi,27y 271d,Right hand Bat,Right arm Fast medium,Bowler
Andile Lucky Phehlukwayo,27y 297d,Andy,Left hand Bat,Right arm Medium fast
Handunnettige Deepthi Priyantha Kumar Dharmasena,52y 245d,Right hand Bat,Right arm Offbreak,Allrounder
Jeffrey John Crowe,65y 102d,Right hand Bat,Right arm Bowler,Middle order Batter
Pathum Nissanka Silva,25y 221d,Right hand Bat,Top order Batter,"Isipathana College, Colombo"
Mathurage Don Kusal Janith Perera,33y 130d,Left hand Bat,Wicketkeeper,Wicketkeeper Batter
Balapuwaduge Kusal Gimhan Mendis,28y 326d,Right hand Bat,Legbreak,Wicketkeeper
Wedagedara Sadeera Rashen Samarawickrama,28y 117d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Kariyawasam Indipalage Charith Asalanka,26y 179d,Left hand Bat,Right arm Offbreak,Batting Allrounder
Angelo Davis Mathews,36y 206d,Right hand Bat,Right arm Medium,Allrounder
Dhananjaya Maduranga de Silva,32y 110d,Right hand Bat,Right arm Offbreak,Allrounder
Chamika Karunaratne,27y 210d,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Morawakage Maheesh Theekshana,23y 146d,Right hand Bat,Right arm Offbreak,Bowler
Pathira Vasan Dushmantha Chameera,31y 348d,Right hand Bat,Right arm Fast,Bowler
Lokumarakkalage Dilshan Madushanka,23y 98d,Right hand Bat,Left arm Fast medium,Bowler
Marais Erasmus,59y 301d,Right hand Bat,Right arm Fast medium,"DF Malan High School, Paarl Teachers Training College, Stellenbosch University"
Alexander George Wharf,48y 204d,Gangster,Right hand Bat,Right arm Medium fast
Chandrasekara Arachchilage Kasun Rajitha,30y 207d,Right hand Bat,Right arm Medium fast,Bowler
Mohammad Shoriful Islam,22y 205d,Left hand Bat,Left arm Medium fast,Bowler
Tanzim Hasan Sakib,21y 66d,Right hand Bat,Right arm Medium,Bowler
Shakib Al Hasan,36y 276d,Saqibul Hasan,Left hand Bat,Slow Left arm Orthodox
Cameron Donald Green,24y 205d,Right hand Bat,Right arm Fast medium,Batting Allrounder
Mark Andrew Wood,33y 348d,Right hand Bat,Right arm Fast,Bowler
Liam Stephen Livingstone,30y 143d,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder
Inderbir Singh Sodhi,31y 55d,Right hand Bat,Legbreak,Bowler
Hasan Ali,29y 176d,Right hand Bat,Right arm Medium fast,Bowler
M Saqib Zulfiqar,26y 272d,MS Zulfiqar,Right hand Bat,Legbreak
Fazalhaq Farooqi,23y 94d,Right hand Bat,Left arm Fast medium,Bowler
Munasinghe Arachchige Dushan Ishara Hemantha,29y 215d,Right hand Bat,Legbreak,Allrounder
Frank Dimuth Madushanka Karunaratne,35y 248d,Left hand Bat,Right arm Medium,Opening Batter
Rodney James Tucker,59y 119d,Left hand Bat,Right arm Medium, (brother)
Matthew James Henry,32y 11d,Right hand Bat,Right arm Fast medium,Bowler
James Douglas Sheahan Neesham,33y 99d,Jimmy Neesham,Left hand Bat,Right arm Medium fast
William Alexander Young,31y 33d,Right hand Bat,Right arm Offbreak,Top order Batter
Usama Mir,28y 2d,Right hand Bat,Legbreak,Bowler
Vikramjit Singh,20y 350d,Left hand Bat,Right arm Medium,Opening Batter
Shariz Ahmad,20y 248d,Left hand Bat,Legbreak Googly,Bowler
Imam-ul-Haq,28y 3d,Left hand Bat,Top order Batter," (uncle),"
Mohammad Nawaz,29y 279d,Left hand Bat,Slow Left arm Orthodox,Allrounder
Chandradasa Brahammana Ralalage Lahiru Sudesh Kumara,26y 315d,Left hand Bat,Right arm Fast,Bowler
Reeza Raphael Hendricks,34y 133d,Right hand Bat,Right arm Offbreak,Opening Batter
Hasan Mahmud,24y 74d,Right hand Bat,Right arm Fast medium,Bowler
Lizaad Buyron Williams,30y 85d,Left hand Bat,Right arm Medium fast,Bowler
